"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Game/TexturesMaterials/Grass.Grass","0","159","39","4","101.888039","0","1045"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Assets/Character/M_ZombieApocalypseCharacter.M_ZombieApocalypseCharacter","0","24","2","1","15.513851","0","142"
"/Game/TopDownBP/Blueprints/M_Cursor_Decal.M_Cursor_Decal","0","0","31","1","0.000000","0","0"
"/Game/TexturesMaterials/HealthGrade.HealthGrade","0","4","4","1","1.846364","0","4"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Assets/Props/M_Props_01.M_Props_01","0","12","1","1","10.643409","0","29"
"/Game/Assets/Environment/M_Environment_02.M_Environment_02","0","21","6","1","17.155684","0","56"
"/Game/Assets/Environment/M_Environment_01.M_Environment_01","0","21","2","1","18.584564","0","54"
"/Game/Assets/Buildings/M_Environment_01.M_Environment_01","0","21","2","1","0.000000","0","54"
"/Game/Assets/Vehicles/Car01/M_Bus_03.M_Bus_03","0","12","6","1","9.165272","0","34"
"/Game/Assets/Vehicles/Car01/M_Bus_02.M_Bus_02","0","12","4","1","8.951704","0","31"
"/Game/Assets/Vehicles/Car01/M_Bus_01.M_Bus_01","0","12","12","1","10.062447","0","16"
"/Game/Assets/Vehicles/M_Bus_03.M_Bus_03","0","12","6","1","0.000000","0","34"
"/Game/Assets/Vehicles/M_Bus_02.M_Bus_02","0","12","4","1","0.000000","0","31"
"/Game/Assets/Vehicles/M_Bus_01.M_Bus_01","0","12","12","1","0.000000","0","16"
"/Game/Assets/Props/M_Props_02.M_Props_02","0","12","12","1","8.632677","0","20"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-79-Weapon_Gun-3_palette.VoxelApocalypseZombie_Export-79-Weapon_Gun-3_palette","0","12","12","1","8.994574","0","15"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-78-Weapon_Gun-2_palette.VoxelApocalypseZombie_Export-78-Weapon_Gun-2_palette","0","12","12","1","9.964493","0","22"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-77-Weapon_Gun-1_palette.VoxelApocalypseZombie_Export-77-Weapon_Gun-1_palette","0","12","12","1","9.008778","0","20"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-76-Weapon_Gun_palette.VoxelApocalypseZombie_Export-76-Weapon_Gun_palette","0","12","12","1","8.261390","0","22"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-63-Weapon_Melee-4_palette.VoxelApocalypseZombie_Export-63-Weapon_Melee-4_palette","0","12","12","1","9.109375","0","14"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-62-Weapon_Melee-3_palette.VoxelApocalypseZombie_Export-62-Weapon_Melee-3_palette","0","12","12","1","8.976092","0","16"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-61-Weapon_Melee-2_palette.VoxelApocalypseZombie_Export-61-Weapon_Melee-2_palette","0","12","12","1","8.628682","0","18"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-60-Weapon_Melee-1_palette.VoxelApocalypseZombie_Export-60-Weapon_Melee-1_palette","0","12","12","1","8.750850","0","16"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-59-Weapon_Melee_palette.VoxelApocalypseZombie_Export-59-Weapon_Melee_palette","0","12","12","1","9.239446","0","22"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-177-Backpacks-3_palette.VoxelApocalypseZombie_Export-177-Backpacks-3_palette","0","12","12","1","8.557832","0","22"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-160-Backpacks-2_palette.VoxelApocalypseZombie_Export-160-Backpacks-2_palette","0","12","12","1","9.355844","0","16"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-143-Backpacks-1_palette.VoxelApocalypseZombie_Export-143-Backpacks-1_palette","0","12","12","1","8.611587","0","18"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-142-Backpacks_palette.VoxelApocalypseZombie_Export-142-Backpacks_palette","0","12","12","1","9.063057","0","20"
"/Game/Assets/Equipment/VoxelApocalypseZombie_Export-141-Weapon_Gun-4_palette.VoxelApocalypseZombie_Export-141-Weapon_Gun-4_palette","0","12","12","1","8.778742","0","22"
